Agatharchides	48	-19.80	-30.90	24.0	24000	41.28	40.32	28.57	23.53		3.35	2.318	13.44	1820.72	1.11	11.88		1.23	9.86	43.27	0.13	0.38	244.05	30.51	9.04	3.81	1.95	85.84	347.83	380.33	278.56	57.44	46.54	110.99	59.79	69.62	86.14	60.64	4.49	4.03	6.65	7.33	215.45							M1834   M1834	Agatharchides
Agatharchides A	16	-23.20	-28.40	8.0	8000	13.28	15.85	10.23	4.14	2.86	2.41	2.565	5.28	0.00	0.60	4.24		0.00	0.00	0.00	0.06	0.19	108.25	13.53	4.01	1.69	0.87	9.50	59.56	65.34	23.18	19.02	15.93	32.63	15.80	17.70	20.74	15.36	0.00	1.58	0.00	2.19	5.92							NLF?	Agatharchides A
Agatharchides B	7	-21.50	-31.60	3.5	3500	5.81	5.88	0.00	0.96	0.96	1.40	1.178	1.96	13.72	0.26	1.84		0.00	0.00	0.00	0.04	0.11	140.00	17.50	5.19	2.19	1.12	2.44	8.90	9.79	2.01	8.28	7.11	12.99	7.44	8.44	10.06	5.46	0.00	0.59	0.00	0.61	0.13							NLF?	Agatharchides B
Agatharchides C	12	-22.00	-32.90	6.0	6000	9.96	10.08	0.00	2.49	1.62	2.41	1.957	3.36	69.12	0.45	3.17		0.00	0.00	0.00	0.05	0.15	240.00	30.00	8.89	3.75	1.92	12.66	32.42	35.59	10.44	14.24	12.03	23.68	14.88	17.31	21.39	10.72	0.00	1.01	0.00	1.22	1.04							NLF?	Agatharchides C
Agatharchides E	15	-20.70	-33.00	7.5	7500	12.45	15.00	9.63	3.69	1.99	2.36	2.414	5.00	0.00	0.56	3.97		0.00	0.00	0.00	0.06	0.18	300.00	37.50	11.11	4.69	2.40	23.62	52.24	57.32	19.48	17.82	14.96	30.36	14.61	16.33	19.08	14.17	0.00	1.50	0.00	2.04	4.79							NLF?	Agatharchides E
Agatharchides F	6	-20.30	-31.80	3.0	3000	4.98	5.04	0.00	0.73		1.20	1.019	1.68	8.64	0.22	1.57		0.00	0.00	0.00	0.03	0.10	120.00	15.00	4.44	1.88	0.96	1.47	5.96	6.55	1.22	7.09	6.12	10.94	6.10	6.87	8.11	4.51	0.00	0.50	0.00	0.50	0.07							NLF?	Agatharchides F
Agatharchides G	6	-20.10	-26.70	3.0	3000	4.98	5.04	0.00	0.73	0.86	1.20	1.019	1.68	8.64	0.22	1.57		0.00	0.00	0.00	0.03	0.10	120.00	15.00	4.44	1.88	0.96	1.47	5.96	6.55	1.22	7.09	6.12	10.94	6.10	6.87	8.11	4.51	0.00	0.50	0.00	0.50	0.07							NLF?	Agatharchides G
Agatharchides H	15	-20.40	-33.90	7.5	7500	12.45	15.00	9.63	3.69		2.36	2.414	5.00	0.00	0.56	3.97		0.00	0.00	0.00	0.06	0.18	300.00	37.50	11.11	4.69	2.40	23.62	52.24	57.32	19.48	17.82	14.96	30.36	14.61	16.33	19.08	14.17	0.00	1.50	0.00	2.04	4.79							NLF?	Agatharchides H
Agatharchides J	13	-21.60	-32.50	6.5	6500	10.79	10.92	0.00	2.87		2.61	2.110	3.64	0.00	0.49	3.44		0.00	0.00	0.00	0.05	0.16	260.00	32.50	9.63	4.06	2.08	15.90	38.63	42.40	13.11	15.43	13.01	25.89	16.49	19.26	23.93	11.85	0.00	1.09	0.00	1.35	1.41							NLF?	Agatharchides J
Agatharchides K	11	-21.00	-27.40	5.5	5500	9.13	9.24	0.00	2.14		2.21	1.803	3.08	53.24	0.41	2.90		0.00	0.00	0.00	0.05	0.15	220.00	27.50	8.15	3.44	1.76	9.83	26.66	29.28	8.11	13.05	11.05	21.49	13.30	15.41	18.94	9.62	0.00	0.92	0.00	1.09	0.74							NLF?	Agatharchides K
Agatharchides L	8	-21.10	-26.70	4.0	4000	6.64	6.72	0.00	1.22	0.40	1.60	1.336	2.24	20.48	0.30	2.10		0.00	0.00	0.00	0.04	0.12	160.00	20.00	5.93	2.50	1.28	3.73	12.48	13.71	3.08	9.47	8.10	15.07	8.83	10.08	12.13	6.46	0.00	0.67	0.00	0.72	0.22							NLF?	Agatharchides L
